"gene","module","kME"
"NPC1L1",1,NA
"1110038B12RIK",1,NA
"C77080",1,NA
"OTX2",9,NA
"GALR1",8,NA
"PPP1R14A",3,NA
"OSGIN1",2,NA
"DBPHT2",1,NA
"WNT9B",4,NA
"RNF165",2,NA
"B3GNT5",4,NA
"CCDC36",1,NA
"GM10222",1,NA
"BC046401",6,NA
"HSPA5",1,NA
"NUP210L",2,NA
"LOXL2",2,NA
"NFATC2",4,NA
"COL6A4",1,NA
"SIK1",12,NA
"STX11",2,NA
"GM11738",1,NA
"THRSP",3,NA
"MDGA1",2,NA
"HSPA12B",2,NA
"SOAT2",2,NA
"NIFK",1,NA
"SRRM4OS",7,NA
"AMMECR1",1,NA
"SLC2A12",9,NA
"PDE10A",11,NA
"AQP9",3,NA
"FMO2",3,NA
"KDM7A",1,NA
"GDNF",6,NA
"THBS4",6,NA
"VAT1L",11,NA
"LATS1",1,NA
"PGGT1B",1,NA
"STIP1",1,NA
"CTNNAL1",4,NA
"ZC3H12C",1,NA
"F13A1",2,NA
"MREG",1,NA
"TAF1D",3,NA
"GM15609",4,NA
"PKD1L2",2,NA
"PER2",2,NA
"CNP",3,NA
"KCNJ13",9,NA
"SMIM17",3,NA
"4930480K15RIK",6,NA
"GM5067",2,NA
"SDC4",2,NA
"FAM196B",4,NA
"GM16060",3,NA
"GM15487",5,NA
"TRA2B",1,NA
"PAPD5",1,NA
"OTUD1",1,NA
"SLC25A25",1,NA
"NOL4L",1,NA
"TMEM74BOS",1,NA
"TLE3",1,NA
"SLC38A5",6,NA
"SLFN10-PS",2,NA
