source,target,ligand_complex,receptor_complex,magnitude_rank_mcao,magnitude_rank_sham,magnitude_rank_diff
Pericyte,Oligodendrocyte,B2M,KLRC1,1.0,1.0,0.0
Pericyte,Oligodendrocyte,B2M,KLRC2,1.0,1.0,0.0
Pericyte,Oligodendrocyte,B2M,KLRD1,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CCL8,CCR1,1.0,1.0,0.0
Pericyte,Endothelial,TNF,FAS,1.0,1.0,0.0
Pericyte,Endothelial,TNF,VSIR,1.0,1.0,0.0
Pericyte,Microglia,B2M,KLRC1,1.0,1.0,0.0
Pericyte,Microglia,B2M,KLRC2,1.0,1.0,0.0
Pericyte,Microglia,B2M,KLRD1,1.0,1.0,0.0
Pericyte,Microglia,CCL8,CCR3,1.0,1.0,0.0
Pericyte,Microglia,CCL8,CCR5,1.0,1.0,0.0
Pericyte,Microglia,TNF,VSIR,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CCL2,ACKR1,1.0,1.0,0.0
Pericyte,Microglia,CSF2,CSF1R,1.0,1.0,0.0
Pericyte,Microglia,CXCL1,ACKR1,1.0,1.0,0.0
Pericyte,Microglia,CXCL1,CXCR1,1.0,1.0,0.0
Pericyte,Microglia,CXCL1,CXCR2,1.0,1.0,0.0
Pericyte,Microglia,CXCL10,ACKR1,1.0,1.0,0.0
Pericyte,Microglia,CXCL10,CCR3,1.0,1.0,0.0
Pericyte,Microglia,CXCL10,SDC4,1.0,1.0,0.0
Pericyte,Endothelial,IL6,MUSK,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CCL2,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,IL6,F3,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,IL6,MUSK,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CCL2,CCR3,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,B2M,KLRD1,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,B2M,KLRC1,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,B2M,KLRC2,1.0,1.0,0.0
Microglia,Pericyte,TIMP1,CD63,1.0,1.0,0.0
Microglia,Pericyte,CXCL1,ACKR1,1.0,1.0,0.0
Microglia,Pericyte,CXCL10,CCR3,1.0,1.0,0.0
Oligodendrocyte,Endothelial,IL6,F3,1.0,1.0,0.0
Microglia,Pericyte,CXCL10,ACKR1,1.0,1.0,0.0
Microglia,Pericyte,CXCL1,CXCR2,1.0,1.0,0.0
Oligodendrocyte,Endothelial,IL6,MUSK,1.0,1.0,0.0
Microglia,Pericyte,CXCL1,CXCR1,1.0,1.0,0.0
Microglia,Pericyte,CSF2,CSF1R,1.0,1.0,0.0
Pericyte,Pericyte,CSF2,CSF1R,1.0,1.0,0.0
Pericyte,Pericyte,CXCL1,ACKR1,1.0,1.0,0.0
Pericyte,Pericyte,CXCL1,CXCR1,1.0,1.0,0.0
Pericyte,Pericyte,CXCL1,CXCR2,1.0,1.0,0.0
Pericyte,Pericyte,CXCL10,ACKR1,1.0,1.0,0.0
Pericyte,Pericyte,CXCL10,CCR3,1.0,1.0,0.0
Pericyte,Pericyte,CXCL10,SDC4,1.0,1.0,0.0
Pericyte,Microglia,CCL8,CCR2,1.0,1.0,0.0
Pericyte,Microglia,CCL8,CCR1,1.0,1.0,0.0
Pericyte,Microglia,CCL8,ACKR1,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CCL8,CCR5,1.0,1.0,0.0
Pericyte,Pericyte,B2M,KLRD1,1.0,1.0,0.0
Pericyte,Endothelial,IL6,F3,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CCL8,CCR2,1.0,1.0,0.0
Pericyte,Pericyte,CXCL2,ACKR1,1.0,1.0,0.0
Pericyte,Pericyte,CCL8,CCR5,1.0,1.0,0.0
Pericyte,Microglia,CCL2,ACKR1,1.0,1.0,0.0
Pericyte,Microglia,CCL2,CCR2,1.0,1.0,0.0
Pericyte,Microglia,CCL2,CCR3,1.0,1.0,0.0
Pericyte,Pericyte,CXCL2,CXCR1,1.0,1.0,0.0
Pericyte,Pericyte,CXCL2,CXCR2,1.0,1.0,0.0
Pericyte,Pericyte,CXCL2,XCR1,1.0,1.0,0.0
Pericyte,Pericyte,CCL8,ACKR1,1.0,1.0,0.0
Pericyte,Pericyte,CCL8,CCR1,1.0,1.0,0.0
Pericyte,Pericyte,CCL8,CCR2,1.0,1.0,0.0
Pericyte,Pericyte,CCL8,CCR3,1.0,1.0,0.0
Pericyte,Oligodendrocyte,IL6,MUSK,1.0,1.0,0.0
Pericyte,Pericyte,IL6,MUSK,1.0,1.0,0.0
Pericyte,Pericyte,CCL2,CCR5,1.0,1.0,0.0
Pericyte,Pericyte,CCL2,CCR3,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CXCL2,CXCR2,1.0,1.0,0.0
Pericyte,Pericyte,CCL2,CCR2,1.0,1.0,0.0
Pericyte,Pericyte,IL6,F3,1.0,1.0,0.0
Pericyte,Microglia,CXCL2,CXCR2,1.0,1.0,0.0
Astrocyte,Pericyte,CXCL10,CCR3,1.0,1.0,0.0
Pericyte,Astrocyte,CXCL2,CXCR2,1.0,1.0,0.0
Pericyte,Astrocyte,CXCL2,XCR1,1.0,1.0,0.0
Pericyte,Astrocyte,CSF2,CSF1R,1.0,1.0,0.0
Astrocyte,Pericyte,CXCL10,SDC4,1.0,1.0,0.0
Astrocyte,Pericyte,CXCL1,CXCR1,1.0,1.0,0.0
Astrocyte,Pericyte,CXCL1,CXCR2,1.0,1.0,0.0
Astrocyte,Pericyte,CXCL10,ACKR1,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CXCL2,CXCR1,1.0,1.0,0.0
