,Endothelial_Sham,Endothelial_MCAO,Astrocyte_Sham,Astrocyte_MCAO,Microglia_Sham,Microglia_MCAO,Oligodendrocyte_Sham,Oligodendrocyte_MCAO,Pericyte_Sham,Pericyte_MCAO
PRTG,0.0005983246908655763,0.00037394360930371697,0.01166902404526167,0.007331378299120242,0.0005625087891998312,0.0002737476047084588,0.007380073800738007,0.002881844380403458,0.0017720023626698169,0.002721617418351477
PYGO1,0.0009307272969020077,0.0013461969934933811,0.026874115983026824,0.013343108504398843,0.0009843903810997047,0.001779359430604982,0.0018450184501845018,0.0019212295869356388,0.03189604252805674,0.015552099533437027
DYX1C1,0.001396090945353012,0.001720140602797098,0.03854314002828845,0.01862170087976539,0.0030937983405990733,0.0026006022447303584,0.007380073800738007,0.010566762728146013,0.002362669816893089,0.0011664074650077762
CCPG1OS,0.02592740327084168,0.025876897763817353,0.24929278642150124,0.12155425219941438,0.01926592603009426,0.014782370654256754,0.03505535055350553,0.03746397694524492,0.04193738924985238,0.03693623639191292
CCPG1,0.08157159952133855,0.0729937925360861,0.11951909476661904,0.08489736070381247,0.12009562649416444,0.07569121270188897,0.19926199261992644,0.12391930835734853,0.09096278795038405,0.07970451010886467
PIGB,0.013562026326286416,0.013686336100516084,0.016619519094766617,0.019501466275659803,0.018422162846294513,0.024226663016698662,0.012915129151291511,0.025936599423631107,0.013585351447135269,0.00933125972006221
RAB27A,0.014692195186810284,0.02497943310148843,0.03571428571428564,0.029618768328445635,0.05175080860638465,0.05297016151108666,0.0018450184501845018,0.007684918347742555,0.014766686355581815,0.014385692068429247
KHDC3,0.00019944156362185878,0.00037394360930371697,0.0007072135785007072,0.0005865102639296188,0.0011250175783996624,0.000684369011771147,0.0,0.0,0.0,0.00038880248833592535
RSL24D1,0.13249567876611518,0.16251589260339086,0.1711456859971718,0.1799120234604136,0.14386162283785742,0.2492471940870478,0.31365313653136495,0.2939481268011523,0.17779090372120412,0.14930015552099465
UNC13C,0.010503922350751245,0.0032907037618727115,0.03465346534653458,0.012463343108504414,0.0009843903810997047,0.0013687380235422938,0.0,0.0,0.017720023626698177,0.01321928460342147
WDR72,0.0004653636484510038,0.0005983097748859472,0.023338048090523304,0.012903225806451629,0.0009843903810997047,0.0012318642211880647,0.0,0.0,0.0,0.00038880248833592535
FAM214A,0.02100784470150249,0.018098870690299983,0.07425742574257399,0.052639296187682934,0.019969062016594055,0.01793046810840405,0.07749077490774914,0.13448607108549454,0.056113408151210936,0.04704510108864702
ARPP19,1.0585693391835678,1.1901877196918176,1.4314002828854453,1.3483870967741884,0.7132611447053474,1.2377497946893172,1.8284132841328415,1.489913544668597,1.227997637330191,1.1244167962675082
MYO5A,0.004055311793644467,0.00785281579537805,0.03960396039603951,0.053225806451612574,0.057094642103783046,0.06816315357240624,0.02767527675276752,0.03266090297790584,0.01181334908446545,0.018662519440124422
MYO5C,0.0003324026060364313,0.00044873233116446036,0.009900990099009901,0.004398826979472143,0.0002812543945999156,0.0001368738023542294,0.0,0.0009606147934678194,0.0,0.00038880248833592535
GNB5,0.004853078048131903,0.001720140602797098,0.028995756718528935,0.0029325513196480947,0.0029531711432991153,0.0020531070353134403,0.014760147601476014,0.0009606147934678194,0.013585351447135269,0.00038880248833592535
MAPK6,0.03151176705225373,0.05870914666068398,0.07531824611032505,0.08269794721407642,0.030094220222191066,0.07350123186422124,0.10516605166051671,0.1008645533141209,0.03248670998228001,0.03810264385692071
