,Endothelial_Sham,Endothelial_MCAO,Astrocyte_Sham,Astrocyte_MCAO,Microglia_Sham,Microglia_MCAO,Oligodendrocyte_Sham,Oligodendrocyte_MCAO,Pericyte_Sham,Pericyte_MCAO
DALIR,0.00013564473,7.407138e-05,0.0010605662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPS9,0.12380111,0.12520765,0.14938797,0.13401109,0.12211142,0.13636887,0.16627939,0.13242897,0.1368272,0.13513066
GPR45,0.000198344,0.00021948814,0.0029637788,0.0021400223,0.0,0.00013559009,0.005743702,0.00085731124,0.0009498873,0.002030099
TGFBRAP1,0.064049885,0.051233463,0.043539856,0.03662653,0.09931823,0.06512753,0.09207384,0.05971225,0.055132404,0.05127513
GM28782,0.00010617428,0.0,0.0,0.0,0.0,0.0,0.03239275,0.017173896,0.0,0.0
8430432A02RIK,0.0014573365,0.0014468647,0.00336444,0.00092089525,0.0014819313,0.0019797767,0.0021863333,0.0,0.00075851404,0.0026202593
AI597479,0.034246564,0.031255923,0.028650278,0.018139496,0.024174443,0.026225848,0.06256247,0.03422086,0.062598936,0.051330898
FHL2,0.0026248202,0.004371891,0.014059444,0.0072978013,0.0014332556,0.001756315,0.0016389536,0.0034503336,0.10954618,0.10551273
NCK2,0.008382352,0.0065320125,0.013824919,0.008143127,0.0018575942,0.0010251779,0.012435366,0.002899577,0.025176242,0.019121181
1500015O10RIK,0.14780447,0.12820171,1.4761678,0.96057284,0.14834401,0.13600367,0.15319128,0.13970695,0.112271376,0.10637405
GM29155,0.0004169257,0.00013393437,0.0008022783,0.0006677181,0.00016609003,0.00011196396,0.0016703552,0.0019661868,0.001570723,0.00081428274
GM29157,0.00010193787,4.639698e-05,0.011413768,0.0042220415,0.0,0.00024902745,0.0,0.0,0.0015916906,0.0
GM29156,0.0003267828,0.00011053647,0.0,0.0,0.0,0.00026177583,0.0018487877,0.0,0.0,0.00063732907
UXS1,0.09874606,0.117588006,0.13842,0.12116441,0.12588517,0.17705478,0.12028252,0.1431686,0.08835006,0.1037004
TPP2,0.09347167,0.11727611,0.074496895,0.116245344,0.1396276,0.19651192,0.06888588,0.09416597,0.06845123,0.10081828
METTL21C,0.0005393726,0.00053055113,0.0,0.00027435785,0.00085577054,0.0011019611,0.0,0.0,0.0,0.0
GM8251,0.00047501735,0.00081536337,0.0,0.0008370284,0.00041657547,0.0007494277,0.0,0.0007044004,0.0006450028,0.0006423185
TEX30,0.07655225,0.10867001,0.050717298,0.07668554,0.06376867,0.13329782,0.08823256,0.09925234,0.06303073,0.08323778
KDELC1,0.06029525,0.065132655,0.04499695,0.047584582,0.051657986,0.070331596,0.054270312,0.033289596,0.07008639,0.07812721
BIVM,0.021037374,0.018740915,0.025782384,0.013146727,0.018218007,0.018130803,0.015849972,0.026625205,0.024705604,0.0149088185
