isp_index,cell_type,condition,glutathione_metabolism,fatty_acid_elongation,iron_metabolism
-0.6360836816074864,Endothelial,Sham,0.427710843373494,-0.056451612903225805,1.372
-0.6865928318460336,Endothelial,Sham,-0.3032128514056225,-0.05241935483870968,0.8439999999999999
-0.7881425279069109,Microglia,Sham,-0.19076305220883535,0.13440860215053763,0.94
-1.0444346179653152,Microglia,Sham,-0.30522088353413657,-0.04435483870967742,0.468
-1.189247791806805,Microglia,Sham,-0.12449799196787148,-0.04838709677419355,1.496
-0.923117006187721,Endothelial,Sham,0.18674698795180722,-0.028225806451612902,1.496
-0.7051119679408613,Endothelial,Sham,0.4056224899598393,-0.03225806451612903,2.1399999999999997
-0.6664263694414795,Endothelial,Sham,0.18072289156626503,-0.05241935483870968,1.2280000000000002
-0.395281772816348,Endothelial,Sham,0.25903614457831325,-0.06048387096774194,1.7320000000000002
-0.7430801824021364,Endothelial,Sham,-0.3313253012048193,-0.04435483870967742,1.6440000000000001
-0.6756195130409204,Endothelial,Sham,0.5823293172690763,-0.024193548387096774,0.8599999999999999
-0.9521455901761272,GABAergic,Sham,0.2751004016064257,-0.05241935483870968,1.084
-0.9641673150349359,Astrocyte,Sham,-0.03815261044176707,0.08602150537634408,0.6000000000000001
-0.7202833118578579,Endothelial,Sham,-0.15060240963855423,-0.036290322580645164,0.756
-0.6686582308933668,Microglia,Sham,-0.3413654618473896,-0.04838709677419355,2.708
-1.4032127725247192,Astrocyte,Sham,0.34738955823293177,0.36693548387096775,1.6400000000000001
-0.9926766881048785,Endothelial,Sham,-0.24096385542168675,-0.06048387096774194,0.556
-1.3279624918330908,GABAergic,Sham,3.6004016064257023,0.005376344086021501,9.096
-0.8066616640017384,Microglia,Sham,-0.13052208835341364,-0.08064516129032258,1.2200000000000002
-0.8758227992310591,Endothelial,Sham,0.14457831325301204,-0.04435483870967742,0.20400000000000001
-0.7895876038101627,Microglia,Sham,-0.012048192771084376,-0.03225806451612903,2.968
-0.6912544149309182,Endothelial,Sham,-0.060240963855421714,-0.04032258064516129,2.348
-0.8147388768752358,Endothelial,Sham,-0.17068273092369476,-0.04032258064516129,0.772
-0.8733649823499221,Microglia,Sham,-0.1385542168674699,-0.04435483870967742,1.952
-0.5578080492439237,Microglia,Sham,-0.4036144578313253,-0.06451612903225806,3.424
-0.9493484848310396,Microglia,Sham,-0.3493975903614458,-0.06048387096774194,2.2399999999999998
-0.8041641047579597,Endothelial,Sham,-0.1385542168674699,-0.04435483870967742,0.8999999999999999
-0.2026299831429462,Pericyte,Sham,-0.31526104417670686,-0.12903225806451613,3.3039999999999994
-0.7156867400581375,Microglia,Sham,-0.15461847389558234,-0.03225806451612903,2.232
-0.9445322482141645,Microglia,Sham,0.23895582329317266,-0.056451612903225805,0.612
-0.6071757618497066,Pericyte,Sham,0.5602409638554218,-0.056451612903225805,2.148
-0.634769180777693,Endothelial,Sham,0.4799196787148595,-0.0967741935483871,2.2439999999999998
-0.8688615170835056,Endothelial,Sham,-0.37751004016064255,-0.05241935483870968,0.04400000000000004
-0.8986196697753376,Endothelial,Sham,-0.41365461847389556,-0.012096774193548387,0.852
