,ferroptosis_score,senescence_score,mg_activation,consensus_senescence,isp_index,condition
GSM5319987_sham1_1-553-0,0.2274378164208673,0.5251612903225806,2.6799999999999997,-0.1174785100286533,-1.0899545728293305,Sham
GSM5319987_sham1_1-564-0,0.25880475456746643,1.028982630272953,3.033333333333333,-0.08739255014326648,-1.0563589950710368,Sham
GSM5319987_sham1_1-570-0,0.6919986792868149,0.37454094292803963,2.3644444444444446,-0.05911627205549691,-0.9567610214211805,Sham
GSM5319987_sham1_1-572-0,0.1544684129429892,0.17493796526054592,2.6266666666666665,-0.06771226059417886,-1.425952556450608,Sham
GSM5319987_sham1_1-573-0,0.14395773717807614,0.4037717121588089,4.202222222222222,-0.0963655557231187,-1.1793659613544734,Sham
GSM5319987_sham1_1-576-0,0.5910191503411842,0.7631761786600496,3.6555555555555554,-0.14040114613180515,-0.7005405688836355,Sham
GSM5319987_sham1_1-580-0,0.4527845036319612,0.1717617866004963,2.8600000000000003,-0.12607449856733524,-1.4334185580025431,Sham
GSM5319987_sham1_1-589-0,0.350264142637024,0.44218362282878415,1.3155555555555554,-0.01807228915662651,-0.9584013630810648,Sham
GSM5319987_sham1_1-593-0,0.4029275808936826,0.19483870967741937,2.908888888888889,-0.06341426632483789,-1.379173390476764,Sham
GSM5319987_sham1_1-596-0,0.529110719788686,0.17022332506203475,3.4866666666666672,-0.04373397677575028,-1.437034902504262,Sham
GSM5319987_sham1_1-599-0,1.0725291657495046,0.6018362282878411,39.06666666666666,-0.10209621474890665,-0.4224752853608177,Sham
GSM5319987_sham1_1-601-0,0.6842945190402817,0.34684863523573195,4.295555555555556,-0.05519529482732621,-1.0218552224521154,Sham
GSM5319987_sham1_1-604-0,0.37673343605546994,0.42679900744416877,4.264444444444445,-0.12034383954154727,-0.9300514106218732,Sham
GSM5319987_sham1_1-605-0,0.42631521021351526,0.4007444168734491,2.4977777777777774,-0.0988538681948424,-0.895166508617715,Sham
GSM5319987_sham1_1-607-0,0.5088047545674665,0.17330024813895784,3.0422222222222226,-0.10782687377469463,-1.4298022135008246,Sham
GSM5319987_sham1_1-612-0,0.6529275808936826,0.2670471464019851,3.9266666666666667,-0.003619363595234515,-1.2094385114444872,Sham
GSM5319987_sham1_1-614-0,0.5003852080123267,1.157816377171216,3.5155555555555553,-0.1368571859448047,-0.7976141067220734,Sham
GSM5319987_sham1_1-616-0,0.8006823684789787,0.7109181141439206,4.497777777777777,-0.14040114613180515,-0.47598065439398846,Sham
GSM5319987_sham1_1-617-0,0.37183579132731676,0.9152853598014887,2.9977777777777774,0.028954908761876036,-0.9352970359209752,Sham
GSM5319987_sham1_1-620-0,0.6442328857583095,0.8522084367245657,28.304444444444442,-0.0963655557231187,-0.6435459659147408,Sham
GSM5319987_sham1_1-622-0,2.2827426810477656,1.0457071960297766,50.90222222222222,-0.11679987935454683,0.6208984315221265,Sham
GSM5319987_sham1_1-623-0,0.4509685230024213,0.537468982630273,13.746666666666666,-0.06876790830945559,-0.8505418765939116,Sham
GSM5319987_sham1_1-630-0,0.15810037420206915,0.02277915632754343,2.2155555555555555,0.02277915632754343,-1.7836206932980037,Sham
GSM5319987_sham1_1-634-0,0.5845806735637245,0.7125558312655087,2.6555555555555554,-0.023676670185492382,-0.707436503265601,Sham
GSM5319987_sham1_1-635-0,0.3471824785384108,0.6940942928039703,3.5266666666666673,0.023224249736088054,-0.9617019812467918,Sham
GSM5319987_sham1_1-638-0,0.05866167730574509,0.7124069478908188,4.4,-0.15329512893982808,-1.2707223570129913,Sham
GSM5319987_sham1_1-644-0,0.4915804534448602,0.8445657568238213,3.56,-0.08633690242798975,-0.8070444443384366,Sham
