,S1,S2,S3,I1_3hr,I2_3hr,I3_3hr,I1_6hr,I2_6hr,I3_6hr,I1_12hr,I2_12hr,I3_12hr,I1_24hr,I2_24hr,I3_24hr,S1,S2,S3
MARCH10,1.2483073295736111,1.3697343507943085,1.2108608242396013,1.328972764827038,1.1294627701558237,1.4912207438609708,1.1814797506290007,1.2129004400415577,1.542431841442251,1.2366321903113568,1.5156394683226455,1.2639604121107455,1.3634551055407076,1.139325807912978,1.7146723225554419,1.2483073295736111,1.3697343507943085,1.2108608242396013
MARCH11,1.7491009330661624,2.0998626251505987,1.848116090520071,1.9656431279300892,2.157342414600097,2.188711644001902,2.2140925818804353,2.146291251544024,2.1457875212384265,2.0093433393653175,1.721699092945371,2.0281429585919803,2.1217809701145263,2.2229531592237577,2.1156433747898276,1.7491009330661624,2.0998626251505987,1.848116090520071
SEPT1,0.06468171286244247,0.0,0.159457782405914,0.16170306991292882,0.4088872543486918,0.2897593620704169,0.12952412886706743,0.07412351315637039,0.315759780493055,0.17019857525088164,0.14181462158383346,0.24343590343252305,0.0,0.3109870010728678,0.12366468346098046,0.06468171286244247,0.0,0.159457782405914
SEPT2,5.444689504006945,5.574465467971898,5.504924592279185,5.55972784745564,5.586775800868858,5.568561854282207,5.699289240018486,6.055416654134156,5.587583144273066,6.289371553528824,6.00888669051149,6.020068365568964,6.059728524171589,6.155272745887236,6.238126187868228,5.444689504006945,5.574465467971898,5.504924592279185
SEPT3,8.40080412109014,8.423276507227744,8.265329108645377,8.145955834766688,8.391846873247843,8.435020647062162,8.10981297479926,8.189930536230781,8.368505080463143,7.983780000537165,8.237506463413862,8.02611212643173,7.582085095252107,7.985977305051206,8.14174522555871,8.40080412109014,8.423276507227744,8.265329108645377
SEPT4,6.480092094404215,6.301722185133794,6.291082613622988,6.059150677592169,6.7777109577338415,6.241746088278648,5.971252432927037,6.254342811918135,6.285053086977155,5.8947087345578755,5.994350451950684,5.785409923090064,5.758809245445238,5.967684314138106,5.867677629985586,6.480092094404215,6.301722185133794,6.291082613622988
SEPT5,8.26493027680302,8.305729997140519,8.239620874667608,7.934389526784443,8.232316657252394,8.393089315450814,7.9055506805361055,8.135792946825513,8.280532164515156,7.887002030324601,8.277075777397853,8.002910626243496,7.287122414628989,7.816592411134137,8.064388286331262,8.26493027680302,8.305729997140519,8.239620874667608
SEPT6,5.927484762308809,5.731022069040512,5.662187992778604,5.9636751745143295,5.915226184163159,6.089841916948124,5.712917526755711,5.82393549650445,5.7597338264390805,5.38177960866801,5.6787963808122175,5.413109417168169,4.854360377733192,5.213871671069447,5.2684632398782085,5.927484762308809,5.731022069040512,5.662187992778604
SEPT7,7.563308350002325,7.289717598540224,7.199924459003039,7.473977703320851,7.25346323003477,7.211297646416033,7.335039434680365,7.586615187588458,6.909527626044358,7.176744823938052,7.330447309169619,6.984250237320817,6.809513769573182,6.978300697523327,7.341319267084701,7.563308350002325,7.289717598540224,7.199924459003039
SETP8,7.6448995717436885,7.6195905453953,7.496153837432226,7.489533872563955,7.654842042620265,7.725517825473436,7.438659810800173,7.545475305245205,7.538912373567525,6.971827203344854,7.30334366617516,7.067911506832695,6.730087673464653,7.106602649931712,6.88261103282743,7.6448995717436885,7.6195905453953,7.496153837432226
SEPT9,5.930741881548598,5.9225996557836265,5.881100834455177,5.591126640408039,5.832615153694365,6.006725138380204,5.824734070240679,6.1392780009392895,6.093933217591331,5.771150918943498,5.935912640185671,5.889724631594828,5.446259891114863,5.903183903254107,6.178318029059997,5.930741881548598,5.9225996557836265,5.881100834455177
SEPT10,2.14278469154055,2.20718030135345,2.190441864571957,2.514658144229055,2.389324325785366,1.9366358479543722,2.4800645936358405,2.2134306931308623,1.9603333110065362,2.2048663504217343,2.1147554133256543,2.490106013161213,2.7714335139240034,2.5388168427675226,2.2775238646251093,2.14278469154055,2.20718030135345,2.190441864571957
SEPT11,6.589238890296233,6.583993770593416,6.580762754467751,6.655885811469301,6.42570596104986,6.890410923192554,6.439359475524099,6.577074211656104,6.598565493631528,6.707781137717028,6.59890723860006,6.5380306016228245,6.455285144105306,6.773476861318439,6.570476963634379,6.589238890296233,6.583993770593416,6.580762754467751
SEPT12,0.0,0.0,0.0,0.04215641734214637,0.0,0.17262383184919045,0.0,0.0,0.06279164114503179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SETP14,0.0,0.0,0.0,0.1994475414939296,0.0,0.0,0.16016639829878865,0.2760619860392324,0.09319148591072036,0.27344298328508565,0.0,0.12684644967126532,0.0,0.0,0.09372802073433252,0.0,0.0,0.0
SEPT15,6.902925110204358,6.9476071540240065,6.833025149016694,6.653338173612004,6.9233228053884375,6.734257259744419,6.73229854337226,6.723172654034469,6.77564857362929,6.808182197939418,6.9429772126615,6.736970070001127,6.8667378004394894,6.787289246050818,6.763771744692396,6.902925110204358,6.9476071540240065,6.833025149016694
0610005C13RIK,0.6951309706485603,0.5586638037946804,0.159457782405914,0.6983838223425003,0.6909669109198239,0.8688386111093949,0.6008695954636857,0.5341919738583709,0.6785643241927848,0.8423898801152873,0.6490229028928977,1.118878061329533,0.8680417074889565,0.5666809735655213,1.128200910284738,0.6951309706485603,0.5586638037946804,0.159457782405914
0610007P14RIK,4.746249843125053,4.785405533825624,4.858922671762423,4.457053193862479,4.675484346877601,4.542703134969056,4.389616506502828,4.30129889057759,4.641263981333775,4.6280695655971416,4.5556718870652855,4.518483617509169,4.407148887252261,4.676199343565238,4.655892218787448,4.746249843125053,4.785405533825624,4.858922671762423
0610009B22RIK,3.015153290854263,2.884443491139939,2.711758472849536,3.1372412538682095,2.9442174904272114,2.649596934142421,2.745542443431473,2.555010706929317,2.6072762161496432,2.9870428631656814,3.00893081259078,2.7137423626517623,2.7549941929936335,2.995688468303041,2.7308416511258655,3.015153290854263,2.884443491139939,2.711758472849536
