,GSM2571735,GSM2571736,GSM2571737,GSM2571738,GSM2571739,GSM2571740,GSM2571741,GSM2571742,GSM2571743,GSM2571744,GSM2571745,GSM2571746
BOP1,8.718110229,8.578790553,8.666642655,8.320291979,8.773729136,8.799896313,8.690564438,8.314270983,8.36108957,8.333174457,8.284759781,8.325174856
BPGM,9.797892054,9.811978337,9.808487246,9.886335451,9.782661363,9.7853337,9.847358628,9.847183856,9.824732788,9.829083754,9.827654664,9.900449074
BPHL,7.710489959,7.806087426,7.57219247,7.953096091,7.309823687,7.983416309,8.037397797,7.621051421,8.189149362,7.647826091,7.684307035,8.307798089
BPIFA1,6.790931983,6.790908319,6.790717298,6.79065036,6.791048128,6.790884104,6.791005896,6.791115313,6.790854308,6.790827,6.791000935,6.790900105
BPIFA2,6.502894978,6.502981514,6.502567452,6.502659364,6.503157874,6.502995429,6.502712866,6.50285759,6.502727744,6.502779923,6.502686685,6.502927714
BPIFA2F,6.979633816,6.979335114,6.979406519,6.979512776,6.9795184,6.979560524,6.979628629,6.979738082,6.979348598,6.979458008,6.979189789,6.979669851
BPIFA5,7.370492812,7.370402079,7.369965026,7.37050161,7.370455431,7.370292828,7.370378409,7.370485439,7.370656581,7.37046596,7.370407024,7.370587217
BPIFB1,6.405286575,6.405104483,6.405028985,6.405110217,6.405419679,6.405309757,6.40526079,6.405127725,6.405055984,6.405067017,6.405108335,6.405268491
BPIFB2,6.231219228,6.231085731,6.230967244,6.230986389,6.230373902,6.230700205,6.231254923,6.231156409,6.230875186,6.230084531,6.229919627,6.231366059
BPIFB4,6.366487398,6.366723974,6.366718565,6.366469667,6.366987466,6.366502147,6.367099765,6.366653375,6.366471008,6.366701221,6.366608102,6.366871176
BPIFB6,6.688536437,6.688622917,6.688183087,6.688434363,6.689147924,6.689318342,6.689085819,6.689276186,6.68903896,6.688507413,6.689058642,6.689641917
BPNT1,9.811379856,9.811503318,9.811609523,9.811602649,9.811501808,9.811433469,9.81155306,9.811805154,9.811686519,9.811623102,9.811815294,9.811740952
BPTF,8.830893493,9.016587725,9.084783476,9.136322526,8.983956143,9.056225893,8.976825996,9.158141079,9.275091243,9.27879778,9.189868845,9.125524421
BRAP,6.898084691,6.897526875,6.897614554,6.897518639,6.897459743,6.897750833,6.897710948,6.89747421,6.897318665,6.897196876,6.897252653,6.897532894
BRAT1,7.730470289,7.730774906,7.730666914,7.730819584,7.730879682,7.730756273,7.730698268,7.730817721,7.731131624,7.731030508,7.730857317,7.730850214
BRCA1,6.141635719,6.141429943,6.141732245,6.141722179,6.141576778,6.141580704,6.141920665,6.141361975,6.141438871,6.141601161,6.141575031,6.14170083
BRCA2,6.876817404,6.876439074,6.876182133,6.876566861,6.876543763,6.87645498,6.876810733,6.876529601,6.876568022,6.876675178,6.87657079,6.876847019
BRCC3,9.636025619,9.187843761,9.885249896,9.388685546,9.684333101,9.799945848,9.418476266,9.407144115,9.339911763,9.340885155,9.466908024,9.447787279
BRD1,8.112935054,8.113311548,8.112940893,8.112777829,8.112855671,8.112951656,8.112757198,8.112845334,8.113028433,8.113088743,8.113022712,8.112939378
BRD2,8.468463806,8.798898926,8.510518275,8.511665448,8.451408355,8.561129709,8.615642034,8.18236643,8.357432469,8.399851495,8.442776758,8.288859187
BRD3,8.536081073,8.535926153,8.536135411,8.536278302,8.536226395,8.536376506,8.536258456,8.535987714,8.536026325,8.535960313,8.535997568,8.536083809
BRD4,9.451314182,9.451580164,9.451425525,9.451604147,9.451426822,9.451601548,9.451505623,9.451467173,9.451329779,9.451394628,9.451586055,9.4513013
BRD7,9.104757782,9.104585626,9.104783887,9.104569749,9.104695366,9.104660209,9.104557254,9.104443085,9.104600698,9.104624302,9.104476948,9.10448662
BRD8,8.525940087,8.526367584,8.526092164,8.526045827,8.526207907,8.525978897,8.526065503,8.526037765,8.526483484,8.526509153,8.526300973,8.52614187
BRD9,8.671744979,8.672163371,8.671808829,8.671711189,8.671758465,8.67175707,8.671815878,8.671682056,8.672152526,8.672055555,8.672125414,8.671805862
BRE,8.472553588,8.48318681,8.478997204,8.482635096,8.475694957,8.475820815,8.482924063,8.481896907,8.486279325,8.494178544,8.493435673,8.484184871
BRF1,8.320712707,8.175854178,8.191817348,8.033724923,8.231283403,8.32659095,8.075909612,7.957899106,8.013899004,7.999559831,7.987843938,8.083793601
BRF2,7.232281419,7.231988056,7.232496734,7.231881167,7.231989352,7.232497289,7.232207578,7.232485238,7.232401303,7.23265594,7.232180837,7.232436069
BRI3,9.393133835,9.393021893,9.393311111,9.393453554,9.393438093,9.393644285,9.3933534,9.393129683,9.393140996,9.39316883,9.393172776,9.393261902
BRI3BP,7.605862832,7.605133848,7.605795385,7.605439679,7.6057125,7.605694246,7.605634505,7.60529948,7.605117769,7.605122226,7.605132961,7.605374055
BRINP1,9.562144724,9.742586401,8.853571329,9.440599464,8.791508466,8.747839621,9.364401897,9.345500341,9.143159561,9.263523497,9.305456111,9.255500216
BRINP2,8.304082124,8.370967267,8.064846787,8.689717771,8.376147439,8.245974894,8.610728254,8.975184509,8.796360955,8.889261824,8.763518448,8.803325578
BRIX1,9.311022863,8.85798791,9.2215248,8.84755426,9.129172406,9.303767051,8.951222633,8.68977661,8.653058479,8.641140684,8.572739573,8.667007448
BRK1,10.69924949,10.47295529,10.60045602,10.71273509,10.50118288,10.73253992,10.85252879,10.51123027,10.37441281,10.48532037,10.50104429,10.61189758
BRMS1,7.674589349,7.674289686,7.674474595,7.674431316,7.67439484,7.674480711,7.674521114,7.674404858,7.674015872,7.67425174,7.674282337,7.674256502
BRMS1L,9.535927253,9.586065748,9.555342488,9.757562129,9.556992974,9.567385062,9.613816292,9.810407356,9.833721763,9.814558739,9.857286735,9.79945533
BROX,9.513794115,9.513803397,9.513787728,9.513807506,9.513877205,9.513765228,9.513785006,9.51376734,9.51403804,9.514090321,9.513929125,9.513924492
BRPF1,7.809900054,7.809948032,7.809751534,7.809566331,7.809687758,7.809642314,7.809563271,7.809562888,7.809845052,7.809935049,7.809640008,7.809550969
BRPF3,7.74445966,7.744494329,7.744540185,7.74484673,7.744737098,7.744389729,7.744346272,7.744913339,7.745245196,7.745190139,7.744869432,7.744895892
BRSK1,9.527253423,9.844542753,9.26455402,9.731134547,9.395141975,9.319767749,9.633405673,9.842541117,10.05402205,10.0847594,9.932063134,9.873619175
BRWD1,7.206935966,7.560781686,7.114246528,7.293108404,7.337276412,7.236095428,7.311453604,7.464311113,7.764798075,7.602625323,7.642347476,7.405756776
BRWD3,6.752136575,6.752148794,6.752150772,6.751923497,6.751885483,6.751763029,6.751789917,6.752339126,6.752483526,6.752146919,6.752074142,6.752091219
BSCL2,8.388601076,8.611633759,8.663439146,8.825088032,8.725591953,8.621443278,8.690089751,8.735350039,8.91309564,8.900537377,8.842895824,8.832355433
BSDC1,8.855729248,8.855583958,8.85587753,8.855759799,8.855704693,8.855819146,8.855622447,8.855670094,8.855728282,8.855782652,8.855714308,8.85571321
BSG,11.28391841,11.28373777,11.28400042,11.28394798,11.28393108,11.28387954,11.28405692,11.283939,11.28362947,11.28386753,11.2838526,11.28395729
