,GSM1509427,GSM1509428,GSM1509429,GSM1509430,GSM1509431,GSM1509422,GSM1509423,GSM1509424,GSM1509425,GSM1509426
LOC689574,12.0893,11.3902,11.5432,11.3745,11.3592,10.7594,10.4405,10.571,10.5312,10.6119
LOC689589,1.3381,2.0815,1.6759,2.3004,3.7462,1.8401,3.2964,3.2815,1.6705,2.433
LOC689600,2.4642,4.7338,2.2837,4.7246,2.4947,5.6544,3.1992,3.2134,3.3776,3.77
LOC689618,5.4637,6.3434,6.9794,5.3233,6.2073,6.1079,6.5129,6.0629,3.7423,3.3386
LOC689770,7.8941,7.7464,6.7098,7.1289,7.5371,6.009,6.6475,5.732,6.1927,6.7453
LOC689959,9.3249,7.8068,8.2118,8.6081,8.0879,6.7326,6.7427,6.541,6.0205,7.3101
LOC689991,3.4225,5.3832,4.9651,5.6657,6.165,5.7589,3.1545,5.6915,6.1163,4.7601
LOC690000,10.9374,10.7426,10.7131,10.8077,10.9136,9.841,9.7631,10.0712,9.8191,9.7374
LOC690020,5.1279,5.8137,5.9451,6.4159,6.8949,6.2723,6.6496,6.4011,6.0334,7.1075
LOC690035,9.39,9.0863,9.4428,9.2033,9.4866,9.4181,8.972,9.262,9.8668,9.2841
LOC690068,10.5844,9.6582,9.8123,9.6489,9.3596,8.9548,8.9877,9.2126,8.6787,10.0451
LOC690082,6.0426,6.8365,6.6094,6.1084,5.2902,6.1144,6.4744,5.8933,6.0013,6.12
LOC690085,9.9494,10.5355,10.6975,10.6245,10.4626,11.0737,11.0638,11.1394,11.1232,10.9424
LOC690155,10.6763,9.9588,9.9258,9.9774,10.0681,9.6334,9.6242,10.1598,9.969,9.8788
LOC690206,6.0132,7.0288,4.1634,4.0571,6.0784,4.2862,6.1245,5.445,6.6577,4.9035
LOC690231,8.7508,7.1391,7.2112,8.6704,8.1695,7.465,6.8486,6.7012,7.2566,7.0435
LOC690251,9.4425,11.8378,9.0968,11.7006,9.2265,10.9244,10.8335,11.6673,8.5518,11.8513
LOC690286,11.7793,12.54,12.7276,12.9874,12.0826,12.8955,13.1142,12.6357,12.9268,12.1546
LOC690323,6.7113,6.169,6.0899,6.7386,7.1689,6.1674,4.9038,6.046,6.0389,6.6179
LOC690326,3.9859,3.3467,6.0616,4.7113,4.9142,5.5176,1.4905,5.4932,4.5172,6.0212
LOC690349,11.2218,10.6449,10.8599,10.7415,10.9215,10.2602,9.9881,10.3089,10.2389,10.2704
LOC690422,8.581,7.9989,7.7533,8.1983,8.3268,8.4763,8.287,7.8287,8.2739,8.358
LOC690646,9.6218,9.1749,9.4663,9.4667,9.4115,9.0587,9.1009,8.9859,8.7508,9.2256
LOC690806,9.0882,8.6196,8.548,8.6593,8.9302,9.0789,8.9679,9.2877,8.9946,9.0429
LOC690826,6.3269,5.2387,5.6919,7.0578,6.5193,7.0535,7.0504,7.2162,6.3172,6.1015
LOC690871,11.1511,11.0037,10.9374,11.4315,10.9066,11.5558,11.3402,10.865,11.2356,11.6658
LOC690911,9.9971,10.053,10.0556,10.3509,10.0097,10.4237,10.412,10.2401,10.118,10.3494
LOC690918,9.5013,8.9818,7.2431,8.2645,8.7691,10.0937,10.1192,10.6016,10.5189,10.0478
LOC691083,7.3955,4.3801,4.2953,4.8344,7.0989,5.7056,4.4255,6.3748,4.2311,5.2922
