dataset,gene,mean_case,mean_control,log2FC,pvalue,padj
GSE16561,ATG3,253.81673665043522,86.3937524149879,1.543857985077811,2.4891102171347125e-63,4.2949352766246016e-63
GSE16561,CSE1L,425.7816987451797,297.2839005789201,0.5168121993352446,8.870709666369042e-63,1.5157717488164577e-62
GSE16561,CDK2,251.4014184750346,169.34274947424882,0.567279476782753,6.521511455093093e-61,1.1036404000926772e-60
GSE16561,MAPK14,147.8784890938278,308.9740380431558,-1.0580120679888718,1.4320036769931818e-60,2.4003109252457144e-60
GSE16561,HSPA5,250.70342465791595,165.21910363110456,0.5986386446511909,2.6221610361925444e-60,4.3537768148102623e-60
GSE16561,GCLC,120.41001753380874,64.90614077487713,0.8814026641254116,1.0854464383656406e-59,1.785407225722923e-59
GSE16561,CCL2,106.40909796523384,68.56096473267802,0.6267663538779666,1.3564437461526021e-58,2.210500919656092e-58
GSE16561,HERC2,208.92260948406698,117.54717021065348,0.8243963336150786,1.2531240266260437e-57,2.023392923726456e-57
GSE16561,GCLM,344.18925327160974,64.44411259274146,2.3990522329298383,1.1685047358765952e-55,1.8696075774025524e-55
GSE16561,GSS,157.99929516326318,228.0141286876332,-0.526416235881142,5.28403407181236e-53,8.378288258008786e-53
GSE16561,CHEK2,105.04644739115872,135.05789177586811,-0.3595243490856493,7.448956586796714e-51,1.1705503207823408e-50
GSE16561,IGFBP3,123.08142882383214,83.6612909621061,0.55151281157288,1.407709942803823e-49,2.1925393799422375e-49
GSE16561,STEAP3,116.2557975375313,154.57585964000182,-0.4079589615079549,2.1211012587047545e-49,3.2746826450178666e-49
GSE16561,NBN,165.03551625630624,103.63355949402167,0.6661462314732254,2.921659333340889e-49,4.47140906667823e-49
GSE16561,RB1,157.81652752788585,91.37296599882016,0.781818459569335,2.9097738032315696e-48,4.414829218696175e-48
GSE16561,JUN,190.66781347740334,119.40557146971643,0.6707059366910313,3.710980975035962e-48,5.582330355609651e-48
GSE16561,TRIB3,182.77597731326458,249.90253497683764,-0.44917885314101325,9.989179896778236e-48,1.4899115778245506e-47
GSE16561,BRCA1,114.43405049945072,78.65941046760017,0.5351521420303155,1.1942510832268178e-45,1.766287316369075e-45
GSE16561,LIG3,181.66445292737504,119.91399455131422,0.5952146769579041,5.282095273184711e-44,7.747073067337577e-44
GSE16561,CHEK1,114.21940511735603,91.14378570836463,0.3224249371541598,6.165833726170858e-43,8.968485419884884e-43
GSE16561,SLC3A2,116.32365833622207,172.0597418766512,-0.5607761935493143,1.0797864262549594e-42,1.5577246804989577e-42
GSE16561,ATF2,107.30519222404644,147.84297522549798,-0.4586887255487928,2.363422814372245e-42,3.381808254711505e-42
GSE16561,MMP2,131.4162118419135,91.1685326614691,0.522733575408892,4.835363864686167e-42,6.863097098264237e-42
GSE16561,VDAC2,141.61307525932702,47.585214626780385,1.5535170119764805,2.364651715210685e-41,3.329429615016645e-41
GSE16561,CD38,146.4392055486486,80.83491527838517,0.8493317896569219,3.852952779791804e-41,5.381902295582202e-41
GSE16561,ATF3,114.01154690689746,84.0955498236049,0.4346231203711943,7.456442457585371e-41,1.0333337579015948e-40
GSE16561,ICAM1,112.8421433029142,86.87978297119287,0.3734315168288866,9.353425250816332e-41,1.2860959719872456e-40
GSE16561,CCNA2,121.88361237392243,91.76549400835142,0.4056323614782056,2.854824710458653e-38,3.8949546437265344e-38
GSE16561,SERPINE1,93.7392752815763,74.31578322308597,0.33101040724462727,2.9285521560414995e-37,3.964809072794646e-37
GSE16561,ADIPOQ,123.93287141216292,94.99018158066478,0.3801943666555678,2.136020998051118e-36,2.8697686691373803e-36
GSE16561,MMP13,81.28347711870649,96.62184747132858,-0.24660129439719847,2.3044233605481007e-36,3.072564480730801e-36
GSE16561,TERT,92.60858891879722,112.72629053277016,-0.2808529926426968,4.865154657629594e-34,6.43809939656247e-34
GSE16561,CHAC1,102.5325089170514,82.20620457726118,0.3153208236892043,7.291433634376781e-34,9.576808355599354e-34
GSE16561,SESN2,99.80794311498673,80.46020107501016,0.3074420392183945,2.443982883329983e-33,3.1862295367857555e-33
GSE16561,BLM,160.88637961786097,113.8220993802119,0.4955812701020071,2.871848715420796e-32,3.716510102309266e-32
GSE16561,ALOX12,219.06466954930778,98.2937189292498,1.1481531807459358,4.0830322618563695e-32,5.245355314501613e-32
GSE16561,E2F1,100.01932969921255,134.27888400547252,-0.4213052891797212,8.600188273330294e-31,1.0968356058740085e-30
GSE16561,TGFB1,92.1989551038415,112.95956252464775,-0.2901363031056384,1.3231914480724913e-29,1.6754078766961042e-29
GSE16561,ZEB1,82.84462524593155,103.6335931037794,-0.31955590021739033,6.651990726481624e-29,8.362502627576899e-29
GSE16561,ABCC2,100.81201206199184,127.69166751295029,-0.33801086082857273,1.2569822523469106e-28,1.568999123496853e-28
GSE16561,MMP3,103.02026454813871,81.83446957739595,0.3285614714527096,4.281633291452665e-28,5.306813093631472e-28
GSE16561,CCNB1,83.00653909725754,100.0673851183039,-0.2667439711814985,5.809397797825742e-28,7.150028058862452e-28
GSE16561,CDO1,96.63989097235562,72.52647039082667,0.4092069535807274,1.3182585624441852e-27,1.611204909654004e-27
GSE16561,SELE,106.04713235450636,82.25788608985182,0.36258731426450314,1.5885892091639388e-27,1.9282186262955396e-27
GSE16561,IGFBP7,182.94073856971548,274.08093153502824,-0.5806150979278145,6.493168096557298e-27,7.827380719137564e-27
GSE16561,CDKN2A,100.88344034540326,82.23080898919451,0.291730016629693,3.839652151731485e-26,4.5971345490118464e-26
GSE16561,SLC7A11,89.18021797851507,75.3981158390551,0.23927393880379583,2.121672393247962e-24,2.5230698730516303e-24
GSE16561,HMGA2,108.00051335282362,86.12058731835889,0.3232493445430607,7.635917607398572e-24,9.019607375182207e-24
GSE16561,CCND1,104.68788984194784,86.03586817378105,0.2801281014702949,2.4480644892006924e-23,2.8723956673288123e-23
GSE16561,SLC39A8,180.15497811339677,98.64514125155911,0.8623530860550815,1.3362767829971852e-22,1.5575146609768518e-22
GSE16561,ACSL3,335.0034501124203,297.2354421451068,0.17202432985799712,9.341052670266207e-22,1.0815955723466135e-21
GSE16561,IGFBP5,88.29522196306222,74.9490200382519,0.23355163131587475,2.1932195370025173e-14,2.5229192059636803e-14
GSE16561,FABP5,93.51766242793406,82.9155654032195,0.17164551025416866,6.5800042062879845e-12,7.520004807186269e-12
GSE16561,SIRT6,99.8865834433693,84.63532186883653,0.23645643750425555,9.488141459759792e-12,1.077363159301757e-11
GSE16561,MMP10,90.49195699614695,77.8428508623234,0.21466497906690343,3.204032998740641e-11,3.6148064601176464e-11
GSE16561,COL3A1,77.3916829158541,88.39614116167904,-0.18951196040385349,8.647648844903492e-10,9.694179596834487e-10
GSE16561,CCNE1,92.355744807308,106.02230314404858,-0.19710077247622523,1.4657927165972706e-09,1.6327817602602509e-09
GSE16561,IL1A,81.70533970896872,90.34883177109866,-0.14340580164297137,5.252047525481671e-08,5.813587198017447e-08
GSE16561,RAD50,135.4909332305773,120.22766882071498,0.17108610457456247,1.5341179661631414e-07,1.6875297627794557e-07
GSE16561,MAPK8,96.9641441356074,86.72057390615333,0.1593385541278124,2.3693859757319967e-06,2.5901362219182074e-06
GSE16561,SNAI1,75.29257590486266,83.32664456878196,-0.14444587546475,4.572533357412814e-06,4.9676905611398475e-06
GSE16561,COL1A1,88.26336447498241,79.47714860403357,0.14948899529392534,9.536718473219722e-06,1.0297315652065466e-05
GSE16561,RGS4,85.80968283925756,93.49250142555574,-0.12234387564895763,8.083771779468033e-05,8.67526727552667e-05
GSE16561,BRCA2,90.82217313357835,84.32021332186673,0.10595500359411801,0.00045131071315313617,0.00048139809403001193
GSE16561,FN1,97.24074700815967,91.79981479576703,0.08219960467764033,0.0022666078630970516,0.0024031505054522956
GSE16561,PRKAA2,83.59374271349662,77.54332836246546,0.10706221792524379,0.0024517201896091623,0.002583848822582111
GSE16561,PPARGC1A,80.50256570847093,84.81130570563958,-0.07432226019560396,0.01611400233360563,0.016881335778063042
GSE16561,TSC2,82.75737283911941,78.84756005157874,0.06896786790153214,0.0438758468674529,0.045693189637110714
GSE16561,IL6,90.97974485343407,94.99260723478226,-0.061607106768280906,0.06312958481016645,0.06535768780346644
GSE16561,MDM2,100.19838586461255,104.27858680700702,-0.057025749563777386,0.08590453505717432,0.08841636356761802
GSE16561,BRD4,126.68110420954694,132.28594893719358,-0.0619796654857532,0.11457060937978301,0.11723504215605704
GSE16561,COL1A2,93.47796483967412,90.02851022112338,0.05365941818869828,0.11958430377834761,0.12165802002883919
GSE16561,MMP12,80.65501237933623,78.15386808042514,0.04488159459046265,0.17086835219224825,0.172832356240435
GSE16561,VEGFA,133.50864022143074,137.50042517678972,-0.04219155724533409,0.19743627563434527,0.1985644829236844
GSE16561,CRYAB,81.64950772481896,80.968965805171,0.011928430932477864,0.7335725915029772,0.7335725915029772
GSE37587,DDIT3,204.41803722800012,388.2632496621852,-0.9221832797478069,6.711247986634443e-09,1.181179645647662e-06
GSE37587,MAX,253.69853607637768,478.0512809613687,-0.9113894327820794,4.444915389205255e-08,3.911525542500625e-06
GSE37587,TFAM,299.2127954413833,524.2528372033399,-0.8070265820548157,2.3726966853165793e-07,1.2955440083989108e-05
GSE37587,RPS6KB1,301.2460877179818,453.7126385608246,-0.5892314384776108,2.9444182009066156e-07,1.2955440083989108e-05
GSE37587,TERF2,297.91965766813735,214.36849102703928,0.472950579928699,3.979708317839052e-07,1.4008573278793462e-05
GSE37587,PRKAA1,500.3821149958317,813.5419400221273,-0.70007844958452,1.0984545513997355e-06,3.2221333507725575e-05
GSE37587,NFKB1,3036.0623067111646,2102.7051285677885,0.5297440067439033,2.517929408862243e-05,0.0005753045590781132
GSE37587,SLC40A1,752.1203481115232,1329.6778863703898,-0.8212090540862877,2.6353898174537966e-05,0.0005753045590781132
GSE37587,IFNG,99.14223541262642,150.6852416922991,-0.5990301592481965,2.9418983134676247e-05,0.0005753045590781132
GSE37587,PRNP,1181.7218186671353,2009.188002049904,-0.7652196497978873,5.959788196211764e-05,0.0010489227225332705
GSE37587,PTGS2,699.0424564481403,1344.833577640924,-0.9429856940205845,0.0001743381205432525,0.00278940992869204
