dataset,gene,mean_case,mean_control,log2FC,pvalue,padj
GSE97537,PGM2L1,145.39709912313126,96.98751025379806,0.5792171903737412,4.1191325899453486e-12,5.1937652004624506e-12
GSE97537,CEND1,99.0010738890585,82.61036625835776,0.25826176479169427,4.2514468832819074e-12,5.3600279541036064e-12
GSE97537,CAV1,93.20527071598458,68.50811024919743,0.43862645762312685,4.286219657976435e-12,5.403292555104755e-12
GSE97537,PITPNM2,427.10634027568193,557.4745324508378,-0.38352229036942304,4.342351623528548e-12,5.473470893570529e-12
GSE97537,SNX32,97.58336588690375,78.87363022775907,0.3036249539840008,4.3473502731027476e-12,5.479188353784953e-12
GSE97537,AK1,181.5422033273171,334.9653997932267,-0.8800826109764178,4.347974954540021e-12,5.479392447499829e-12
GSE97537,ERMN,100.08463370869592,140.19683970666136,-0.48214409441168576,4.3666080336013966e-12,5.502288573573921e-12
GSE97537,CLCA1,82.75863502465556,87.35725252161127,-0.07711062709803825,4.45972414595068e-12,5.619024644839541e-12
GSE97537,NCAM1,181.2682996675763,128.52232778233252,0.49286284867427677,4.469556381164723e-12,5.630813608827693e-12
GSE97537,GAS6,118.83223705574189,188.43781705024486,-0.6607082899601668,4.471012104098985e-12,5.632048332408094e-12
GSE97537,DDX6,123.09938073833631,85.9178029297492,0.5137723040933285,4.513572358959032e-12,5.6850558772932565e-12
GSE97537,PPP1R14A,212.71404403142515,114.22579222136555,0.8912180297667631,4.527986455971764e-12,5.702604512354995e-12
GSE97537,ROM1,161.20295275934086,92.57824422105668,0.7935550175291783,4.5323758791892435e-12,5.707525554129515e-12
GSE97537,RARRES1,86.99730593167862,100.40891452323804,-0.20465321955398216,4.582024031388706e-12,5.768965060343207e-12
GSE97537,JUNB,359.027298497151,582.2253442354095,-0.6959471130219,4.5821397172981895e-12,5.768965060343207e-12
GSE97537,PRKAR2B,133.30847482765813,61.208719459343705,1.1103616269029641,4.613222128100389e-12,5.807480673914173e-12
GSE97537,SLC39A7,106.79502346340908,130.06222878747008,-0.2819613956848808,4.775900966221617e-12,6.011634244820896e-12
GSE97537,AMER3,82.2403895330352,103.04449060722739,-0.3218449516471037,4.7992201564378105e-12,6.0403450119451655e-12
GSE97537,FLNA,104.48916088840642,156.57884537137664,-0.5789791007577652,4.887023776046292e-12,6.15020177831482e-12
GSE97537,PPME1,123.12737300528538,240.12204702533208,-0.9579422712354375,4.8942200043885915e-12,6.158603514555294e-12
GSE97537,IGSF11,120.2230056667833,92.96926164726453,0.36740270098074124,4.990340753430445e-12,6.278889051255966e-12
GSE97537,MED21,177.26779885346346,67.1534638554413,1.3871872393172513,4.999570714135752e-12,6.289833916923231e-12
GSE97537,BAG3,128.00166998443814,264.8712307967883,-1.0433379334288004,5.005750001540284e-12,6.296938889646075e-12
GSE97537,IGFBP7,199.39752161598798,243.22190681905028,-0.28532795020307344,5.02169588975674e-12,6.3163268568737584e-12
GSE97537,DHX36,205.42058838793739,166.18869587039745,0.3041095665563761,5.05222319707931e-12,6.354049376167405e-12
GSE97537,TPD52L1,88.47732275239636,107.57372246274198,-0.2790809820285055,5.057003080700586e-12,6.3593854586422734e-12
GSE97537,UNC5B,101.20918966494688,82.91434024908403,0.2845356341428544,5.13495455481521e-12,6.456726864560571e-12
GSE97537,SLC25A12,156.27910122574028,109.13211066147771,0.5140918129887403,5.142906354927651e-12,6.466038877542824e-12
GSE97537,MARCH5,142.41440871813205,107.74382584792765,0.39925648627072624,5.169793406964567e-12,6.499153172509548e-12
GSE97537,PPP1R3B,85.25883935354861,105.1184989109541,-0.2989319640301861,5.171951273300523e-12,6.501175692903556e-12
GSE97537,RNF125,144.71179734927165,208.1020790911854,-0.5210897187495781,5.284967184876116e-12,6.642532261555895e-12
GSE97537,SNPH,109.40414888173468,139.2702817519605,-0.34541499770508177,5.344971238776561e-12,6.717236726634819e-12
GSE97537,BRMS1L,84.36004063026209,102.93485430958683,-0.28404677180025506,5.349314280631029e-12,6.7219813644223726e-12
GSE97537,SERINC5,99.01356281865621,162.4944035519044,-0.709045595967269,5.377774291744321e-12,6.757027312027219e-12
GSE97537,TSPAN2,279.4778148571205,34.63956603692313,2.976334986336054,5.378982788160457e-12,6.757828667862914e-12
GSE97537,KCTD1,103.49940828334142,129.89829935792622,-0.3249515805618371,5.41953811210079e-12,6.808057583851629e-12
GSE97537,TRIM2,111.43950048689096,74.64593438197413,0.5718144981914135,5.480425406506784e-12,6.883814282215639e-12
GSE97537,SAPCD2,109.22702218935306,83.5550291124052,0.3825154743790076,5.583074107232032e-12,7.012004720379135e-12
GSE97537,KAZN,176.79201345245528,129.48173767046234,0.4463426185450982,5.593548200663072e-12,7.024414491892188e-12
GSE97537,ACP6,144.37775462133877,99.46498575159214,0.5331137500018179,5.7990347686493e-12,7.281666457960488e-12
GSE97537,FMNL1,138.3324717418398,235.3994227273503,-0.7626949921424917,5.799628102780623e-12,7.281666457960488e-12
GSE97537,PRPF4B,206.12114283682897,292.1740605522233,-0.5012826316173677,5.818012513368162e-12,7.303974360771034e-12
GSE97537,RAB2A,344.60135078146243,333.1600959278826,0.048569393509836585,5.821550345907329e-12,7.307641009847204e-12
GSE97537,RAB3IP,313.1612005090654,533.6002755999313,-0.7669555652064745,5.89800535975866e-12,7.402828223966746e-12
GSE97537,SEMA3C,140.41648031924228,69.58029440244356,1.0026129050090518,5.949667515875421e-12,7.466880027077993e-12
GSE97537,ZNRF2,114.88607818797666,77.94843381394175,0.5537247094325102,6.0165340327904305e-12,7.549997825590449e-12
GSE97537,NKIRAS1,158.78517314464565,104.86069427312323,0.5939665224524515,6.141970157600106e-12,7.706587754174299e-12
GSE97537,SLC12A7,103.51182530363596,84.19091707754714,0.294894663722927,6.183025290529581e-12,7.757279345747061e-12
GSE97537,PAPSS2,193.04084941208671,96.63957848682693,0.9908224279591947,6.234298563017891e-12,7.820778608400768e-12
GSE97537,MCF2,98.20105151579891,80.44117404784522,0.28459705372604827,6.3360409648898664e-12,7.947570028099671e-12
GSE97537,LIG4,172.68151146407521,51.85004012576189,1.716467714109919,6.54842456012331e-12,8.213101918909026e-12
GSE97537,PAQR7,210.4769496435877,121.12889376087405,0.792095862969237,6.6179324980458125e-12,8.299400414039447e-12
GSE97537,ENPP1,136.7837445449958,85.14057995821497,0.6776407498100392,6.634534190969228e-12,8.319339124776727e-12
GSE97537,PCK2,250.3418972331433,291.7077117003896,-0.21980957546302068,6.722427882300473e-12,8.42866037212197e-12
GSE97537,CAMKMT,129.1379891678516,178.70822211540408,-0.46561425022469827,6.787264689159908e-12,8.509052534075435e-12
GSE97537,POC1B,373.17532169082864,180.80432301920087,1.0413279054546716,6.832457558409947e-12,8.56480308587044e-12
GSE97537,SLC25A13,175.9243550010526,122.44541264202913,0.5192594343389532,6.848306717552086e-12,8.583762024191199e-12
