dataset,cell_type,metric,rho,p_value,significant_bonf,n_samples
GSE97537,Tcell_CD4,senescence,-0.6315828352402535,0.02760228151721332,False,12
GSE97537,Tcell_CD4,idsp_index,-0.6245652481820285,0.0299241905885928,False,12
GSE97537,Treg,ferroptosis,0.9160839160839163,2.8428045348547105e-05,True,12
GSE97537,Treg,senescence,0.7552447552447553,0.004508435484294225,False,12
GSE97537,Treg,idsp_index,0.8531468531468532,0.00041811794041499725,True,12
GSE97537,NK_cell,ferroptosis,-0.6293706293706295,0.02831967129576002,False,12
GSE97537,NK_cell,senescence,-0.7482517482517484,0.005124081698753058,False,12
GSE97537,NK_cell,idsp_index,-0.6013986013986015,0.03858845292201944,False,12
GSE97537,B_cell,ferroptosis,-0.6363636363636365,0.026096891052703127,False,12
GSE97537,B_cell,senescence,-0.6993006993006995,0.011374198642690932,False,12
GSE97537,B_cell,idsp_index,-0.5944055944055945,0.04152149441031855,False,12
GSE97537,Plasma_cell,ferroptosis,0.8671328671328673,0.00025981184986148103,True,12
GSE97537,Plasma_cell,senescence,0.9160839160839163,2.8428045348547105e-05,True,12
GSE97537,Plasma_cell,idsp_index,0.8601398601398602,0.0003316683391269209,True,12
GSE97537,Dendritic_cell,ferroptosis,0.7622377622377624,0.003950448972542651,False,12
GSE97537,Dendritic_cell,senescence,0.6713286713286714,0.016831456186893395,False,12
GSE97537,Dendritic_cell,idsp_index,0.7132867132867133,0.009201779777634755,False,12
