source,target,ligand_complex,receptor_complex,lr_means_mcao,cellphone_pvals_mcao,expr_prod_mcao,scaled_weight_mcao,lr_logfc_mcao,spec_weight_mcao,lrscore_mcao,specificity_rank_mcao,magnitude_rank_mcao,lr_means_sham,cellphone_pvals_sham,expr_prod_sham,scaled_weight_sham,lr_logfc_sham,spec_weight_sham,lrscore_sham,specificity_rank_sham,magnitude_rank_sham,magnitude_rank_diff
Astrocyte,Endothelial,CCL2,ACKR1,2.897894,0.0,5.372728,0.10197548610879138,98.50208334085954,0.20881677,0.79369396,0.000492405962271605,0.04282663429998427,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9571733657000158
Astrocyte,Oligodendrocyte,PSAP,GPR37L1,4.248773,0.0,2.1060338,0.2182519718566804,34.8538455529392,0.027041668,0.70663,0.0013684080640000004,0.043883505480876724,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9561164945191233
Microglia,Endothelial,CCL7,ACKR1,2.8080058,0.0,5.164435,0.2149784076841092,56.378598990988365,0.43895,0.79043794,0.00011017430929187627,0.04441650827233895,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9555834917276611
Microglia,Microglia,FN1,C5AR1,3.1648486,0.0,2.0642755,0.32740527010182674,8.878130608387359,0.060464174,0.70454985,0.0001243274556049383,0.04603377425387177,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9539662257461282
Astrocyte,Microglia,CCL2,CCR5,2.7675204,0.0,4.163601,0.38999082397459534,-0.7106350996636634,0.1749859,0.7720388,9.886106103796032e-05,0.04657894138814583,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9534210586118542
Microglia,Microglia,LGALS3,LAG3,2.7614639,0.0,5.246418,0.5676494818897392,45.67487883763288,0.29978263,0.7917394,4.252623927120245e-05,0.047127130289555105,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9528728697104449
Astrocyte,Astrocyte,CCL2,CCR2,2.7374237,0.0,3.884472,0.3413246725882505,4.29825757734418,0.23572764,0.7658748,5.8804307843662496e-05,0.04767834691120747,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9523216530887926
Astrocyte,Astrocyte,CCL2,CCR1,2.7250335,0.0,3.7695627,0.28498028226493627,-8.09754457817492,0.16237266,0.7631719,0.00020852506771807682,0.04823259740923722,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9517674025907628
Microglia,Microglia,CCL7,CCR5,2.6776323,0.0,4.002184,0.5029937455499132,-42.83411944953484,0.36783475,0.7685407,0.001370228057848733,0.0504797542451417,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9495202457548583
Microglia,Astrocyte,CCL7,CCR2,2.6475356,0.0,3.7338765,0.4543275941635683,-37.825226772526996,0.49551886,0.7623112,0.001180643731026464,0.051621402810998473,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9483785971890015
