ligand,receptor,pathway,source
WNT3,FZD4_LRP6,WNT,CellChatDB
WNT3,FZD5_LRP6,WNT,CellChatDB
WNT3,FZD6_LRP6,WNT,CellChatDB
WNT3,FZD7_LRP6,WNT,CellChatDB
WNT3,FZD8_LRP6,WNT,CellChatDB
WNT3,FZD9_LRP6,WNT,CellChatDB
WNT3A,FZD1_LRP6,WNT,CellChatDB
WNT3A,FZD10_LRP6,WNT,CellChatDB
WNT3A,FZD2_LRP6,WNT,CellChatDB
WNT3A,FZD3_LRP6,WNT,CellChatDB
WNT3A,FZD4_LRP6,WNT,CellChatDB
WNT3A,FZD5_LRP6,WNT,CellChatDB
WNT3A,FZD6_LRP6,WNT,CellChatDB
WNT3A,FZD7_LRP6,WNT,CellChatDB
WNT3A,FZD8_LRP6,WNT,CellChatDB
WNT3A,FZD9_LRP6,WNT,CellChatDB
WNT4,FZD1_LRP6,WNT,CellChatDB
WNT4,FZD10_LRP6,WNT,CellChatDB
WNT4,FZD2_LRP6,WNT,CellChatDB
WNT4,FZD3_LRP6,WNT,CellChatDB
WNT4,FZD4_LRP6,WNT,CellChatDB
WNT4,FZD5_LRP6,WNT,CellChatDB
WNT4,FZD6_LRP6,WNT,CellChatDB
WNT4,FZD7_LRP6,WNT,CellChatDB
WNT4,FZD8_LRP6,WNT,CellChatDB
WNT4,FZD9_LRP6,WNT,CellChatDB
WNT6,FZD1_LRP6,WNT,CellChatDB
WNT6,FZD10_LRP6,WNT,CellChatDB
WNT6,FZD2_LRP6,WNT,CellChatDB
WNT6,FZD3_LRP6,WNT,CellChatDB
WNT6,FZD4_LRP6,WNT,CellChatDB
WNT6,FZD5_LRP6,WNT,CellChatDB
WNT6,FZD6_LRP6,WNT,CellChatDB
WNT6,FZD7_LRP6,WNT,CellChatDB
WNT6,FZD8_LRP6,WNT,CellChatDB
WNT6,FZD9_LRP6,WNT,CellChatDB
WNT7A,FZD1_LRP6,WNT,CellChatDB
WNT7A,FZD10_LRP6,WNT,CellChatDB
WNT7A,FZD2_LRP6,WNT,CellChatDB
WNT7A,FZD3_LRP6,WNT,CellChatDB
WNT7A,FZD4_LRP6,WNT,CellChatDB
WNT7A,FZD5_LRP6,WNT,CellChatDB
WNT7A,FZD6_LRP6,WNT,CellChatDB
WNT7A,FZD7_LRP6,WNT,CellChatDB
WNT7A,FZD8_LRP6,WNT,CellChatDB
WNT7A,FZD9_LRP6,WNT,CellChatDB
WNT7B,FZD1_LRP6,WNT,CellChatDB
WNT7B,FZD10_LRP6,WNT,CellChatDB
WNT7B,FZD2_LRP6,WNT,CellChatDB
WNT7B,FZD3_LRP6,WNT,CellChatDB
WNT7B,FZD4_LRP6,WNT,CellChatDB
WNT7B,FZD5_LRP6,WNT,CellChatDB
WNT7B,FZD6_LRP6,WNT,CellChatDB
WNT7B,FZD7_LRP6,WNT,CellChatDB
WNT7B,FZD8_LRP6,WNT,CellChatDB
WNT7B,FZD9_LRP6,WNT,CellChatDB
WNT8A,FZD1_LRP6,WNT,CellChatDB
WNT8A,FZD10_LRP6,WNT,CellChatDB
WNT8A,FZD2_LRP6,WNT,CellChatDB
WNT8A,FZD3_LRP6,WNT,CellChatDB
WNT8A,FZD4_LRP6,WNT,CellChatDB
WNT8A,FZD5_LRP6,WNT,CellChatDB
WNT8A,FZD6_LRP6,WNT,CellChatDB
WNT8A,FZD7_LRP6,WNT,CellChatDB
WNT8A,FZD8_LRP6,WNT,CellChatDB
WNT8A,FZD9_LRP6,WNT,CellChatDB
WNT8B,FZD1_LRP6,WNT,CellChatDB
WNT8B,FZD10_LRP6,WNT,CellChatDB
WNT8B,FZD2_LRP6,WNT,CellChatDB
WNT8B,FZD3_LRP6,WNT,CellChatDB
WNT8B,FZD4_LRP6,WNT,CellChatDB
WNT8B,FZD5_LRP6,WNT,CellChatDB
WNT8B,FZD6_LRP6,WNT,CellChatDB
WNT8B,FZD7_LRP6,WNT,CellChatDB
WNT8B,FZD8_LRP6,WNT,CellChatDB
WNT8B,FZD9_LRP6,WNT,CellChatDB
WNT9A,FZD1_LRP6,WNT,CellChatDB
WNT9A,FZD10_LRP6,WNT,CellChatDB
WNT9A,FZD2_LRP6,WNT,CellChatDB
WNT9A,FZD3_LRP6,WNT,CellChatDB
WNT9A,FZD4_LRP6,WNT,CellChatDB
WNT9A,FZD5_LRP6,WNT,CellChatDB
WNT9A,FZD6_LRP6,WNT,CellChatDB
WNT9A,FZD7_LRP6,WNT,CellChatDB
WNT9A,FZD8_LRP6,WNT,CellChatDB
WNT9A,FZD9_LRP6,WNT,CellChatDB
WNT9B,FZD1_LRP6,WNT,CellChatDB
WNT9B,FZD10_LRP6,WNT,CellChatDB
WNT9B,FZD2_LRP6,WNT,CellChatDB
WNT9B,FZD3_LRP6,WNT,CellChatDB
WNT9B,FZD4_LRP6,WNT,CellChatDB
WNT9B,FZD5_LRP6,WNT,CellChatDB
WNT9B,FZD6_LRP6,WNT,CellChatDB
WNT9B,FZD7_LRP6,WNT,CellChatDB
WNT9B,FZD8_LRP6,WNT,CellChatDB
WNT9B,FZD9_LRP6,WNT,CellChatDB
WNT5A,FZD1,ncWNT,CellChatDB
WNT5A,FZD10,ncWNT,CellChatDB
WNT5A,FZD2,ncWNT,CellChatDB
WNT5A,FZD3,ncWNT,CellChatDB
WNT5A,FZD4,ncWNT,CellChatDB
WNT5A,FZD5,ncWNT,CellChatDB
WNT5A,FZD6,ncWNT,CellChatDB
WNT5A,FZD7,ncWNT,CellChatDB
WNT5A,FZD8,ncWNT,CellChatDB
WNT5A,FZD9,ncWNT,CellChatDB
WNT5A,MCAM,ncWNT,CellChatDB
WNT5B,FZD1,ncWNT,CellChatDB
WNT5B,FZD10,ncWNT,CellChatDB
WNT5B,FZD2,ncWNT,CellChatDB
WNT5B,FZD3,ncWNT,CellChatDB
WNT5B,FZD4,ncWNT,CellChatDB
WNT5B,FZD5,ncWNT,CellChatDB
WNT5B,FZD6,ncWNT,CellChatDB
WNT5B,FZD7,ncWNT,CellChatDB
WNT5B,FZD8,ncWNT,CellChatDB
WNT5B,FZD9,ncWNT,CellChatDB
WNT11,FZD1,ncWNT,CellChatDB
WNT11,FZD10,ncWNT,CellChatDB
WNT11,FZD2,ncWNT,CellChatDB
WNT11,FZD3,ncWNT,CellChatDB
WNT11,FZD4,ncWNT,CellChatDB
WNT11,FZD5,ncWNT,CellChatDB
WNT11,FZD6,ncWNT,CellChatDB
WNT11,FZD7,ncWNT,CellChatDB
WNT11,FZD8,ncWNT,CellChatDB
WNT11,FZD9,ncWNT,CellChatDB
EGF,EGFR,EGF,CellChatDB
EGF,EGFR_ERBB2,EGF,CellChatDB
TGFA,EGFR,EGF,CellChatDB
TGFA,EGFR_ERBB2,EGF,CellChatDB
AREG,EGFR,EGF,CellChatDB
AREG,EGFR_ERBB2,EGF,CellChatDB
BTC,EGFR,EGF,CellChatDB
BTC,EGFR_ERBB2,EGF,CellChatDB
BTC,ERBB4,EGF,CellChatDB
BTC,ERBB2_ERBB4,EGF,CellChatDB
HBEGF,EGFR,EGF,CellChatDB
HBEGF,EGFR_ERBB2,EGF,CellChatDB
HBEGF,ERBB4,EGF,CellChatDB
