compound,gene,source,confidence,confidence_level,download_date
Quercetin,SIRT1,curated,0.95,high,2026-06-21
Quercetin,SIRT6,curated,0.95,high,2026-06-21
Quercetin,SLC7A11,curated,0.95,high,2026-06-21
Quercetin,SOCS1,curated,0.95,high,2026-06-21
Quercetin,SOD1,curated,0.95,high,2026-06-21
Quercetin,SOD2,curated,0.95,high,2026-06-21
Quercetin,STAT3,curated,0.95,high,2026-06-21
Quercetin,TFAM,curated,0.95,high,2026-06-21
Quercetin,TFRC,curated,0.95,high,2026-06-21
Quercetin,TIMP1,curated,0.95,high,2026-06-21
Quercetin,TNF,curated,0.95,high,2026-06-21
Quercetin,TP53,curated,0.95,high,2026-06-21
Quercetin,WNT5A,curated,0.95,high,2026-06-21
VC,AKT1,curated,0.95,high,2026-06-21
VC,BCL2,curated,0.95,high,2026-06-21
VC,CDKN1A,curated,0.95,high,2026-06-21
VC,EGLN2,curated,0.95,high,2026-06-21
VC,FTH1,curated,0.95,high,2026-06-21
VC,FTL,curated,0.95,high,2026-06-21
VC,GCLC,curated,0.95,high,2026-06-21
VC,GPX4,curated,0.95,high,2026-06-21
VC,GSS,curated,0.95,high,2026-06-21
VC,HIF1A,curated,0.95,high,2026-06-21
VC,HMOX1,curated,0.95,high,2026-06-21
VC,IL1B,curated,0.95,high,2026-06-21
VC,IL6,curated,0.95,high,2026-06-21
VC,KEAP1,curated,0.95,high,2026-06-21
VC,LOX,curated,0.95,high,2026-06-21
VC,MAPK1,curated,0.95,high,2026-06-21
VC,MAPK14,curated,0.95,high,2026-06-21
VC,MAPK3,curated,0.95,high,2026-06-21
VC,MTOR,curated,0.95,high,2026-06-21
VC,NFE2L2,curated,0.95,high,2026-06-21
VC,NQO1,curated,0.95,high,2026-06-21
VC,P4HA1,curated,0.95,high,2026-06-21
VC,P4HB,curated,0.95,high,2026-06-21
VC,SLC7A11,curated,0.95,high,2026-06-21
VC,SOD1,curated,0.95,high,2026-06-21
VC,SOD2,curated,0.95,high,2026-06-21
VC,TET2,curated,0.95,high,2026-06-21
VC,TFRC,curated,0.95,high,2026-06-21
VC,TNF,curated,0.95,high,2026-06-21
VC,TP53,curated,0.95,high,2026-06-21
