disease,gene,score,efo_id,disease_name,target_name
CIRI,HMMR,0.30124272118322654,EFO_0003763,CIRI_cerebrovascular_disorder,hyaluronan mediated motility receptor
CIRI,CLASP1,0.30109763625359154,EFO_0003763,CIRI_cerebrovascular_disorder,cytoplasmic linker associated protein 1
CIRI,CNTN4,0.3005261621464116,EFO_0003763,CIRI_cerebrovascular_disorder,contactin 4
CIRI,FOXI2,0.30010791394142416,EFO_0003763,CIRI_cerebrovascular_disorder,forkhead box I2
CIRI,SCN1A,0.3000747536522342,EFO_0003763,CIRI_cerebrovascular_disorder,sodium voltage-gated channel alpha subunit 1
CIRI,VIT,0.29928503350011426,EFO_0003763,CIRI_cerebrovascular_disorder,vitrin
CIRI,NACAD,0.299260399933228,EFO_0003763,CIRI_cerebrovascular_disorder,NAC alpha domain containing
CIRI,ARHGAP5,0.2988620719074475,EFO_0003763,CIRI_cerebrovascular_disorder,Rho GTPase activating protein 5
CIRI,ACTBL2,0.29821622416249927,EFO_0003763,CIRI_cerebrovascular_disorder,actin beta like 2
CIRI,SCN7A,0.2977695024513242,EFO_0003763,CIRI_cerebrovascular_disorder,sodium voltage-gated channel alpha subunit 7
CIRI,GJA5,0.29755379756064326,EFO_0003763,CIRI_cerebrovascular_disorder,gap junction protein alpha 5
CIRI,SCN4A,0.2974906414611964,EFO_0003763,CIRI_cerebrovascular_disorder,sodium voltage-gated channel alpha subunit 4
CIRI,SCN9A,0.29726646320467004,EFO_0003763,CIRI_cerebrovascular_disorder,sodium voltage-gated channel alpha subunit 9
CIRI,FAT2,0.2971643714161457,EFO_0003763,CIRI_cerebrovascular_disorder,FAT atypical cadherin 2
CIRI,SCN10A,0.2968968833499853,EFO_0003763,CIRI_cerebrovascular_disorder,sodium voltage-gated channel alpha subunit 10
CIRI,SCN11A,0.2968968833499853,EFO_0003763,CIRI_cerebrovascular_disorder,sodium voltage-gated channel alpha subunit 11
CIRI,SLC6A3,0.2968628428124469,EFO_0003763,CIRI_cerebrovascular_disorder,solute carrier family 6 member 3
CIRI,POTEC,0.29621742472288437,EFO_0003763,CIRI_cerebrovascular_disorder,POTE ankyrin domain family member C
CIRI,XKR8,0.2961553699427202,EFO_0003763,CIRI_cerebrovascular_disorder,XK related 8
CIRI,SPMIP7,0.29609838175802555,EFO_0003763,CIRI_cerebrovascular_disorder,sperm microtubule inner protein 7
CIRI,ARLN,0.29606858205053077,EFO_0003763,CIRI_cerebrovascular_disorder,allregulin
