compound,gene,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,pchembl_value,source
Curcumin,PROTEIN DEACETYLASE HDAC6,CHEMBL2093865,CHEMBL140,Ki,539.0,nM,6.27,ChEMBL
Curcumin,PROTEIN DEACETYLASE HDAC7,CHEMBL2093865,CHEMBL140,Ki,539.0,nM,6.27,ChEMBL
Curcumin,PROTEIN DEACETYLASE HDAC8,CHEMBL2093865,CHEMBL140,Ki,539.0,nM,6.27,ChEMBL
Curcumin,PROTEIN DEACYLASE HDAC1,CHEMBL2093865,CHEMBL140,Ki,539.0,nM,6.27,ChEMBL
Curcumin,PROTEIN DEACYLASE HDAC2,CHEMBL2093865,CHEMBL140,Ki,539.0,nM,6.27,ChEMBL
Curcumin,PROTEIN DEACYLASE HDAC3,CHEMBL2093865,CHEMBL140,Ki,539.0,nM,6.27,ChEMBL
Curcumin,PROTEIN DECROTONYLASE HDAC8,CHEMBL2093865,CHEMBL140,Ki,539.0,nM,6.27,ChEMBL
Curcumin,PROTEIN ISONICOTINYLTRANSFERASE P300,CHEMBL3784,CHEMBL140,IC50,6500.0,nM,5.19,ChEMBL
Curcumin,PROTEIN KINASE C EPSILON TYPE,CHEMBL3582,CHEMBL140,EC50,8810.0,nM,5.05,ChEMBL
Curcumin,PROTEIN KINASE MINIBRAIN HOMOLOG,CHEMBL2292,CHEMBL140,IC50,300.0,nM,6.52,ChEMBL
Curcumin,PROTEIN LACTYLTRANSFERAS P300,CHEMBL3784,CHEMBL140,IC50,6500.0,nM,5.19,ChEMBL
Curcumin,PROTEIN PROPIONYLTRANSFERASE P300,CHEMBL3784,CHEMBL140,IC50,6500.0,nM,5.19,ChEMBL
Curcumin,PROTO-ONCOGENE C-ERBB-1,CHEMBL203,CHEMBL140,IC50,8600.0,nM,5.07,ChEMBL
Curcumin,PROTO-ONCOGENE C-FOS,CHEMBL2111421,CHEMBL140,IC50,6.9,nM,8.16,ChEMBL
Curcumin,PROTO-ONCOGENE C-JUN,CHEMBL2111421,CHEMBL140,IC50,6.9,nM,8.16,ChEMBL
Curcumin,PROTO-ONCOGENE C-SRC,CHEMBL3074,CHEMBL140,IC50,2200.0,nM,5.66,ChEMBL
Curcumin,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE SRC,CHEMBL3074,CHEMBL140,IC50,2200.0,nM,5.66,ChEMBL
Curcumin,PSEUDOCHOLINESTERASE,CHEMBL1914,CHEMBL140,IC50,5000.0,nM,,ChEMBL
Curcumin,PSMB5,CHEMBL4662,CHEMBL140,IC50,10000.0,nM,5.0,ChEMBL
Curcumin,PTAC97,CHEMBL3885594,CHEMBL140,Potency,5011.9,nM,,ChEMBL
Curcumin,PTGES,CHEMBL5658,CHEMBL140,IC50,600.0,nM,6.22,ChEMBL
Curcumin,PTGS1,CHEMBL2096674,CHEMBL140,IC50,2000.0,nM,5.7,ChEMBL
Curcumin,PTGS2,CHEMBL2096674,CHEMBL140,IC50,2000.0,nM,5.7,ChEMBL
Curcumin,PUNTA TORO VIRUS,CHEMBL613741,CHEMBL140,EC50,10.0,nM,,ChEMBL
Curcumin,PWR-1E,CHEMBL4296487,CHEMBL140,IC50,8140.0,nM,5.09,ChEMBL
Curcumin,RALDH 1,CHEMBL3577,CHEMBL140,Potency,8912.5,nM,5.05,ChEMBL
Curcumin,RALDH1,CHEMBL3577,CHEMBL140,Potency,8912.5,nM,5.05,ChEMBL
Curcumin,RATTUS NORVEGICUS,CHEMBL376,CHEMBL140,IC50,53.4,nM,7.27,ChEMBL
Curcumin,RAW264.7,CHEMBL612557,CHEMBL140,IC50,8300.0,nM,5.08,ChEMBL
