,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
Ribosome,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Spliceosome,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
RNA_transport,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
mRNA_surveillance,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Protein_export,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Oxidative_phosphorylation,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Carbon_metabolism,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Amino_acid_metabolism,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Nucleotide_metabolism,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Lipid_metabolism,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Steroid_biosynthesis,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Drug_metabolism_cytochrome_P450,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Xenobiotic_metabolism,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
ABC_transporters,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Endocytosis,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Phagosome,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Antigen_processing,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Natural_killer_cytotoxicity,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
T_cell_receptor,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
B_cell_receptor,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Fc_gamma_phagocytosis,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Leukocyte_transendothelial_migration,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Platelet_activation,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
IL-17 signaling pathway,-0.6274215,-0.0036414862,0.45946783,-0.25417972,-0.24142756,-0.41149318,0.028159529,-0.12995508,0.19241334,0.41521603,-0.26618528,-0.19315654,0.002557844,0.42140645,-0.24689656,-0.118350595
NOD-like receptor signaling pathway,-0.6292528,-0.0021793395,0.46200654,-0.25516683,-0.24062923,-0.41364393,0.026056945,-0.1294758,0.1938444,0.41776857,-0.26653424,-0.19400886,0.0018226206,0.4245702,-0.24987388,-0.117757946
TNF signaling pathway,-0.6360369,0.0005836189,0.4816718,-0.26340368,-0.23142603,-0.431688,0.012392521,-0.12479758,0.19181247,0.44687533,-0.2621921,-0.21893305,-0.02016434,0.45459336,-0.28890914,-0.10273996
C-type lectin receptor signaling pathway,-0.62780917,-0.0032065958,0.45877096,-0.25350773,-0.2421121,-0.41072175,0.02872622,-0.1302586,0.19308423,0.4131714,-0.26706427,-0.19107655,0.0044908226,0.41988665,-0.24415803,-0.11948757
Kaposi sarcoma-associated herpesvirus infection,-0.63753855,-0.0009358078,0.48324803,-0.2640524,-0.23360553,-0.42936277,0.014151394,-0.12701315,0.19201897,0.44871938,-0.26114064,-0.21881416,-0.021065056,0.45514554,-0.28860503,-0.10443872
Epstein-Barr virus infection,-0.6206613,-0.0056061447,0.44411364,-0.25155658,-0.24833356,-0.39819655,0.037442714,-0.13304159,0.19808348,0.39659244,-0.26593822,-0.17233342,0.017313033,0.39894193,-0.21912804,-0.1321697
HIF-1 signaling pathway,-0.62612534,-0.004608959,0.4581883,-0.25497374,-0.24213944,-0.40956756,0.02873078,-0.13033523,0.19284932,0.41504818,-0.26582417,-0.19248977,0.002944231,0.42013502,-0.24591547,-0.119880944
Pertussis,-0.63065267,-0.002742678,0.4673867,-0.255925,-0.23718047,-0.41816244,0.022832274,-0.12825692,0.18903546,0.42532933,-0.26649037,-0.2048276,-0.004884541,0.43330055,-0.26202112,-0.11066373
Influenza A,-0.6280736,-0.003128469,0.46187562,-0.25551227,-0.23978786,-0.41368824,0.025608182,-0.1292028,0.19188412,0.4194867,-0.26649898,-0.19756994,-9.691715e-05,0.4258793,-0.25276172,-0.11603263
