compound,gene,binding_probability
Quercetin,TXNIP,0.4537755846977234
Quercetin,TNFAIP1,0.4537748396396637
Baicalein,TLR4,0.45377209782600403
Quercetin,HMGB1,0.45377117395401
Quercetin,KEAP1,0.4537676274776459
Quercetin,TFRC,0.4537666141986847
Kaempferol,E2F3,0.4537663459777832
Galangin,FOSL1,0.45376482605934143
Quercetin,FBXO31,0.4537646472454071
Baicalein,IL6,0.45376330614089966
Scutellarein,MEN1,0.4537607729434967
Quercetin,TLR4,0.4537581205368042
Quercetin,IL6,0.4537493586540222
Baicalein,SOCS2,0.45374903082847595
Baicalein,EPHA2,0.45374685525894165
Galangin,NOX4,0.45374342799186707
Scutellarein,PDE4B,0.45374181866645813
Scutellarein,PPP2R2B,0.45374152064323425
Baicalein,LIFR,0.4537394940853119
Baicalein,IGFBP7,0.45373719930648804
Quercetin,SOCS2,0.45373502373695374
Quercetin,EPHA2,0.4537328779697418
Baicalein,SOD1,0.4537328779697418
Quercetin,LIFR,0.45372551679611206
Quercetin,IGFBP7,0.4537232518196106
Quercetin,SOD1,0.4537189304828644
Galangin,IRF7,0.4537130892276764
Formononetin,SLC1A5,0.45370951294898987
Luteolin,PADI4,0.4537064731121063
Luteolin,ACVR1B,0.45369866490364075
Baicalein,MPO,0.453697144985199
Baicalein,EDN1,0.4536900222301483
Galangin,MEN1,0.4536897838115692
Fisetin,ZEB1,0.45368772745132446
Baicalein,SMURF2,0.4536871016025543
Quercetin,MPO,0.45368316769599915
Scutellarein,SMARCB1,0.453677773475647
Quercetin,EDN1,0.4536760449409485
Kaempferol,PTBP1,0.4536750614643097
Quercetin,SMURF2,0.4536730945110321
Galangin,PDE4B,0.45367079973220825
Galangin,PPP2R2B,0.45367056131362915
Daidzein,SPATA2,0.4536673128604889
Fisetin,ATG3,0.4536622166633606
Chrysin,DYRK1A,0.4536578059196472
Fisetin,RUNX3,0.4536570906639099
Baicalein,EGR1,0.4536551535129547
Scutellarein,ATF3,0.45364585518836975
Quercetin,EGR1,0.45364120602607727
Scutellarein,WWTR1,0.4536278545856476
Baicalein,TNFAIP3,0.45360705256462097
Galangin,SMARCB1,0.4536067545413971
Scutellarein,LPCAT3,0.45360490679740906
Baicalein,E2F1,0.453599214553833
Daidzein,ABCC1,0.45359617471694946
Quercetin,TNFAIP3,0.4535931348800659
Scutellarein,WNT5A,0.45358651876449585
Quercetin,E2F1,0.4535852372646332
Baicalein,MAPK14,0.4535827338695526
Kaempferol,DPEP1,0.45357978343963623
Scutellarein,BRD7,0.45357584953308105
Galangin,ATF3,0.45357489585876465
Fisetin,SOCS1,0.45357179641723633
Kaempferol,ICA1,0.4535696804523468
Luteolin,SPATA2,0.4535694718360901
Quercetin,MAPK14,0.45356878638267517
Fisetin,IRF9,0.4535658061504364
Baicalein,PRKD1,0.4535573720932007
Galangin,WWTR1,0.45355692505836487
Fisetin,BCL6,0.4535524249076843
Quercetin,PRKD1,0.45354339480400085
Galangin,LPCAT3,0.45353397727012634
Kaempferol,SNCA,0.45352447032928467
Daidzein,SAT1,0.45352378487586975
Fisetin,SP1,0.45352309942245483
Scutellarein,EPHA4,0.45351701974868774
Galangin,WNT5A,0.45351552963256836
Kaempferol,MCU,0.4535081386566162
Galangin,BRD7,0.45350486040115356
Fisetin,CXCL10,0.4534994661808014
Luteolin,ABCC1,0.453496515750885
Kaempferol,ERN1,0.4534952938556671
Kaempferol,HERPUD1,0.45349448919296265
Baicalein,KDM6B,0.45348745584487915
Baicalein,NLRP3,0.45348191261291504
Quercetin,KDM6B,0.4534734785556793
